Id,SalePrice
1461,108151.74633133104
1462,158565.89022972272
1463,188825.4056954011
1464,191758.61322709217
1465,210073.51592322247
1466,172559.33322632994
1467,170961.7847207531
1468,168333.506399026
1469,195826.0676487327
1470,113753.54116017125
1471,193228.64156285013
1472,97757.99984536477
1473,100704.82930694576
1474,149205.5738428094
1475,121946.88710366428
1476,348057.37406705524
1477,267078.6255517004
1478,284546.96010094776
1479,319065.22310699703
1480,415572.33962188056
1481,360353.1058227664
1482,234369.4271969813
1483,172915.5956544885
1484,165885.70051552803
1485,166134.2938842436
1486,197908.01111336375
1487,340571.05648139084
1488,312767.16905943217
1489,198239.1624989407
1490,217885.44446448132
1491,189273.67211512494
1492,89175.64138059429
1493,176110.3520162504
1494,295541.7115211516
1495,311179.1623184393
1496,237915.527932446
1497,179534.3246861919
1498,164699.3878783766
1499,158295.17017371097
1500,150429.95623236033
1501,167395.40614248536
1502,151507.9658188965
1503,258343.7689670656
1504,258894.66565917814
1505,227577.60807852796
1506,209912.37902137218
1507,235721.49226612385
1508,215982.32223051018
1509,163244.05673266438
1510,148941.97130356324
1511,145131.2124507339
1512,163495.41431377543
1513,141673.0777054046
1514,141681.52354826042
1515,191231.11614136503
1516,149811.64065963431
1517,171064.89978004893
1518,140926.84907862046
1519,200622.426967335
1520,135230.8198098059
1521,144902.96856086788
1522,172605.62481405865
1523,119211.42583393618
1524,118558.8373775332
1525,123880.63078354835
1526,110681.81757573028
1527,106674.63177316565
1528,134078.7384438546
1529,146207.16229280707
1530,155826.9958040553
1531,113655.95065448424
1532,89960.25755791884
1533,145815.38596707824
1534,127650.5601093318
1535,146728.29611209792
1536,117317.16941511568
1537,65048.87838925428
1538,145647.49325995633
1539,206162.0365049044
1540,99577.46877844012
1541,136404.87565920092
1542,154705.3556057776
1543,172189.99151588685
1544,70470.4792961808
1545,97885.13707469999
1546,134034.28261347063
1547,120777.25026181134
1548,132939.1028067315
1549,112678.76437174507
1550,135633.82209045367
1551,103698.27667022521
1552,139530.74665386515
1553,135870.89700257443
1554,127708.2198173756
1555,189773.81805922493
1556,93894.20509257197
1557,107682.74431102771
1558,100906.7969341513
1559,117300.04961522322
1560,136571.44058084371
1561,118808.97824495034
1562,125872.10319036496
1563,121677.68186216742
1564,184950.54787677614
1565,153081.8763974285
1566,254686.9428537035
1567,69972.18649373582
1568,250744.80850491067
