Id,SalePrice
1461,109847.23114815106
1462,155331.36725622567
1463,190727.0728167614
1464,193931.51307775086
1465,213952.19988011423
1466,176020.22228101658
1467,171787.88819619865
1468,170995.91115304478
1469,195702.6319939413
1470,116235.57020433233
1471,191472.83901886488
1472,101014.18575866777
1473,104203.50577852665
1474,151466.43002906255
1475,118030.5703903903
1476,347850.30208267446
1477,269341.1845718036
1478,309884.8325675581
1479,321688.62965868314
1480,420684.4883599667
1481,365505.9372282552
1482,235801.969817729
1483,174470.13039883238
1484,164754.52149717713
1485,171095.46341390436
1486,198751.80644406177
1487,335787.6729366079
1488,320323.15880196006
1489,191481.31955144022
1490,217910.59349971652
1491,191698.67554839337
1492,93819.17496865563
1493,174069.389843676
1494,295839.3602208419
1495,311520.2218880723
1496,230208.98209533546
1497,179805.08843472658
1498,165873.8973591678
1499,159631.23054978438
1500,153754.07508384314
1501,170559.15555475603
1502,151808.49856810286
1503,248468.04022721562
1504,252337.5100645089
1505,223212.7851728136
1506,199397.05393195513
1507,232935.89486287627
1508,215248.24955582683
1509,159150.7520023926
1510,148867.50987834815
1511,145767.27742442433
1512,163934.02244553232
1513,139304.1418757965
1514,138745.79985152808
1515,190938.89003935058
1516,150011.4773502743
1517,171626.89045625727
1518,139491.95327414508
1519,199960.85792746686
1520,132064.57193488567
1521,142091.22168892992
1522,173403.79275280793
1523,119264.73589049623
1524,118394.24540467982
1525,123563.34002188912
1526,110809.21907807472
1527,108072.07857356888
1528,135722.36919178898
1529,146258.9972378917
1530,155896.06009797534
1531,112106.87741853001
1532,90174.45681506529
1533,142364.29003404555
1534,124389.08530134136
1535,146568.6242484416
1536,116927.94433769472
1537,65693.43675899587
1538,142829.99595582508
1539,199536.84663458227
1540,100470.00241154086
1541,135843.48255489755
1542,153721.02178733452
1543,172478.71962246398
1544,73039.94118016156
1545,101701.69703233874
1546,132504.78905290004
1547,122358.5489043714
1548,131366.5825403404
1549,113385.38087213381
1550,140255.16815595177
1551,103668.12291659573
1552,139371.32462860495
1553,133637.74962610588
1554,127100.62324908757
1555,186062.0505700876
1556,94291.80762523202
1557,104815.6769126605
1558,98026.74226165724
1559,109668.46068452642
1560,130886.48565098159
1561,121017.88631841398
1562,127150.6535655826
1563,122120.67146737032
1564,182764.07749946805
1565,157112.89215932298
1566,241951.51818351063
1567,73264.75271709615
1568,250881.88368898924
1569,137973.43744584854
1570,136032.24898144839
1571,116444.07550568267
1572,140223.59657324434
1573,213034.93793182904
1574,136848.0959693611
1575,234296.80449809966
1576,225307.1918163893
1577,182544.94722864244
1578,148324.29279761584
1579,155762.5684317536
1580,198430.05094424172
1581,150044.24855630472
1582,128800.38902087486
1583,290601.25918474694
1584,218193.65554092088
1585,142567.5748786368
1586,62941.6952639237
1587,94737.33767511723
1588,141549.15431827883
1589,86674.07194943794
1590,139965.21513016344
1591,96739.0077112574
1592,123831.78635058823
1593,121815.99255410962
1594,117370.77564976025
1595,112069.96936398349
1596,244080.31694579448
1597,201494.60255507551
1598,202850.79823810168
